dataset_name,fold,classifier,exp_type,explainer,acc_m1,acc_m2
heloc,1,neural_network,Architecture,"('dice', 'base')",0.7267477203647417,"[0.6939209726443769, 0.7051671732522796, 0.7297872340425532, 0.7249240121580547, 0.6936170212765957, 0.7139817629179331, 0.6966565349544073, 0.7024316109422493, 0.7015197568389058, 0.7267477203647417]"
heloc,2,neural_network,Architecture,"('rbr', 'e2e')",0.7300911854103344,"[0.7343465045592705, 0.7300911854103344, 0.7337386018237082, 0.7173252279635258, 0.6890577507598784, 0.7212765957446808, 0.6890577507598784, 0.7331306990881459, 0.6832826747720365, 0.7179331306990882]"
heloc,2,neural_network,Architecture,"('dice', 'base')",0.6890577507598784,"[0.6890577507598784, 0.7173252279635258, 0.7300911854103344, 0.7212765957446808, 0.7343465045592705, 0.7179331306990882, 0.6832826747720365, 0.7337386018237082, 0.6890577507598784, 0.7331306990881459]"
heloc,0,neural_network,Weights,"('rbr', 'e2e')",0.718930416286843,"[0.6256457003950167, 0.6657550896384078, 0.7280461865694318, 0.7116378000607718, 0.7134609541172896, 0.7107262230325129, 0.7271346095411729, 0.7101185050136737, 0.6976602856274688, 0.7095107869948344]"
heloc,0,neural_network,Weights,"('face', 'base')",0.7307809176542085,"[0.7143725311455484, 0.7183226982680037, 0.7043451838347007, 0.7377696748708599, 0.7250075964752355, 0.7250075964752355, 0.7186265572774233, 0.7247037374658158, 0.7116378000607718, 0.7168034032209055]"
heloc,1,neural_network,Weights,"('rbr', 'e2e')",0.7240121580547112,"[0.7054711246200608, 0.711854103343465, 0.6632218844984803, 0.7085106382978723, 0.703951367781155, 0.7088145896656535, 0.7188449848024316, 0.6914893617021277, 0.676595744680851, 0.7109422492401216]"
heloc,1,neural_network,Weights,"('face', 'base')",0.7033434650455928,"[0.6556231003039513, 0.6939209726443769, 0.6899696048632219, 0.6951367781155016, 0.6753799392097265, 0.7103343465045593, 0.656838905775076, 0.6720364741641337, 0.629483282674772, 0.7088145896656535]"
heloc,2,neural_network,Weights,"('rbr', 'e2e')",0.7355623100303952,"[0.7185410334346505, 0.7285714285714285, 0.7173252279635258, 0.7270516717325228, 0.6711246200607903, 0.7197568389057751, 0.6869300911854104, 0.7100303951367781, 0.7297872340425532, 0.6428571428571429]"
heloc,2,neural_network,Weights,"('face', 'base')",0.7355623100303952,"[0.6562310030395136, 0.7021276595744681, 0.7267477203647417, 0.6759878419452887, 0.7243161094224924, 0.7148936170212766, 0.7288753799392097, 0.7297872340425532, 0.6650455927051672, 0.7221884498480243]"
heloc,0,neural_network,Bootstrap,"('rbr', 'e2e')",0.7158918261926466,"[0.7134609541172896, 0.7374658158614403, 0.7289577635976907, 0.7301731996353692, 0.7158918261926466, 0.7216651473716196, 0.7301731996353692, 0.7395928289273777, 0.7128532360984503, 0.736858097842601]"
heloc,0,neural_network,Bootstrap,"('face', 'base')",0.7134609541172896,"[0.7134609541172896, 0.7216651473716196, 0.7158918261926466, 0.7128532360984503, 0.736858097842601, 0.7301731996353692, 0.7395928289273777, 0.7374658158614403, 0.7289577635976907, 0.7301731996353692]"
heloc,1,neural_network,Bootstrap,"('rbr', 'e2e')",0.7197568389057751,"[0.7218844984802432, 0.6869300911854104, 0.7197568389057751, 0.7091185410334346, 0.7173252279635258, 0.7054711246200608, 0.6996960486322188, 0.7167173252279635, 0.6948328267477204, 0.7322188449848024]"
heloc,1,neural_network,Bootstrap,"('face', 'base')",0.7322188449848024,"[0.7054711246200608, 0.7091185410334346, 0.7218844984802432, 0.6996960486322188, 0.7173252279635258, 0.7167173252279635, 0.7322188449848024, 0.6948328267477204, 0.7197568389057751, 0.6869300911854104]"
heloc,2,neural_network,Bootstrap,"('rbr', 'e2e')",0.7398176291793314,"[0.7398176291793314, 0.7361702127659574, 0.7045592705167173, 0.7361702127659574, 0.7164133738601823, 0.7252279635258359, 0.7340425531914894, 0.7319148936170212, 0.7422492401215806, 0.7203647416413373]"
heloc,2,neural_network,Bootstrap,"('face', 'base')",0.7422492401215806,"[0.7203647416413373, 0.7361702127659574, 0.7422492401215806, 0.7340425531914894, 0.7398176291793314, 0.7252279635258359, 0.7164133738601823, 0.7045592705167173, 0.7361702127659574, 0.7319148936170212]"
heloc,0,neural_network,Architecture,"('rbr', 'e2e')",0.7271346095411729,"[0.7006988757216651, 0.712245518079611, 0.7000911577028259, 0.7271346095411729, 0.7037374658158614, 0.7079914919477363, 0.7438468550592525, 0.7326040717107262, 0.7259191735034943, 0.7195381343056821]"
heloc,0,neural_network,Architecture,"('face', 'base')",0.7000911577028259,"[0.7271346095411729, 0.7000911577028259, 0.7079914919477363, 0.7195381343056821, 0.712245518079611, 0.7438468550592525, 0.7326040717107262, 0.7037374658158614, 0.7259191735034943, 0.7006988757216651]"
heloc,1,neural_network,Architecture,"('rbr', 'e2e')",0.7015197568389058,"[0.7139817629179331, 0.7267477203647417, 0.7051671732522796, 0.7015197568389058, 0.6936170212765957, 0.7024316109422493, 0.6939209726443769, 0.6966565349544073, 0.7297872340425532, 0.7249240121580547]"
